country,year,crop,yield_hg_ha,population,rainfall,temperature,fertilizer
Canada,1966,wheat,18739.0,25519591,575.6912492956245,13.017044885152048,154.32952314627954
Canada,1967,wheat,13239.0,24498337,596.2380855674604,14.464570255195468,153.8431276486382
Canada,1968,wheat,14855.0,23477084,556.98504621352,13.428118808677507,158.94468400870707
Canada,1969,wheat,18084.0,22455830,617.2941431641881,22.332204972701106,176.34505130087257
Canada,1970,wheat,17864.0,21434577,384.67967584514906,14.248699840339508,162.87588168021648
Canada,1971,wheat,18351.0,21742270,611.6543141094651,20.06019074522419,246.31828726636803
Canada,1972,wheat,16799.0,22049963,618.50686128318,22.542262560722396,173.85004408733005
Canada,1973,wheat,16876.0,22357656,628.1669501566957,16.738923021438616,168.9742305123317
Canada,1974,wheat,14884.0,22665350,457.2609742554914,17.052725573039965,137.8659113042724
Canada,1975,wheat,18020.0,22973043,559.8248967263587,27.258634266694035,103.3183701852063
Canada,1976,wheat,20963.0,23280736,632.3512228449416,11.549136515241393,138.20170335526416
Canada,1977,wheat,19632.0,23588430,680.6740716360839,18.257120076381852,123.05638055176735
Canada,1978,wheat,19987.0,23896123,464.1635548888038,20.7183909957387,131.74083420707157
Canada,1979,wheat,16341.0,24203816,575.975030749837,18.182287359615255,133.70999130985456
Canada,1980,wheat,17212.0,24511510,807.2732907190391,20.535676089272044,99.37143533355982
Canada,1981,wheat,19959.0,24826079,572.3745177723313,15.352854140926448,171.3108333699056
Canada,1982,wheat,21336.0,25140648,454.89751138807594,17.541054234132403,162.62468197451142
Canada,1983,wheat,19345.0,25455218,653.8906233004145,13.198814371776894,141.6374691039763
Canada,1984,wheat,16099.0,25769787,493.0065626606853,15.386683069705153,194.13635600702742
Canada,1985,wheat,17665.0,26084357,598.5978053153146,12.956464182659818,172.9465486763694
Canada,1986,wheat,22052.0,26398926,804.658743641516,22.12986104220459,112.01575085114966
Canada,1987,wheat,19279.0,26713495,491.89191125604987,23.06764459674649,132.30826335953049
Canada,1988,wheat,12293.0,27028065,603.2583313775474,21.098536213717345,126.82673821054793
Canada,1989,wheat,18076.0,27342634,542.8569572725839,5.03493063972371,124.39030896664275
Canada,1990,wheat,22769.0,27657204,519.6918218328208,13.008867272140602,190.81028259829088
Canada,1991,wheat,22559.0,27959814,378.3830346447241,16.239822053212066,153.26851443215227
Canada,1992,wheat,21603.0,28262425,722.9527946879339,12.256551395282242,179.079093803874
Canada,1993,wheat,22027.0,28565036,551.2279673223504,14.073965395808196,161.55258685658177
Canada,1994,wheat,21275.0,28867647,573.8871634688164,15.599132491364822,151.7450521247505
Canada,1995,wheat,22467.0,29170258,503.76236837658877,18.45406938100499,166.55326686302618
Canada,1996,wheat,24304.0,29472869,740.3220179374423,13.048738004692604,203.32583436640667
Canada,1997,wheat,21285.0,29775480,315.74946405729975,17.392859619857667,164.70793016211442
Canada,1998,wheat,22550.0,30078091,583.719024128204,15.509201920717626,144.7969437410681
Canada,1999,wheat,25971.0,30380702,490.83988784094004,15.642540972223154,171.24005242552562
Canada,2000,wheat,24446.0,30683313,592.8418583158057,15.228361618957383,172.48999688583126
Canada,2001,wheat,19452.0,31011322,586.8759425051932,21.25144847535584,165.7407210480903
Canada,2002,wheat,18324.0,31339332,450.52059868935135,15.759275839212123,168.68234012808153
Canada,2003,wheat,22565.0,31667342,623.2444318520157,17.916393624143407,152.93318458271955
Canada,2004,wheat,26409.0,31995352,703.319787494611,15.63371444465668,163.67743452925095
Canada,2005,wheat,27381.0,32323362,525.7368817079328,17.129275187091118,177.46942129967977
Canada,2006,wheat,26096.0,32651372,649.0499618785636,21.254038544002555,182.63697017885823
Canada,2007,wheat,23317.0,32979382,552.5204609959311,20.727811885179854,142.2433310851636
Canada,2008,wheat,28575.0,33307392,588.8999622986131,17.47942778252926,152.42489912481795
Canada,2009,wheat,27897.0,33635402,621.4188430524297,14.72711726706611,202.3096818921365
Canada,2010,wheat,28085.0,33963412,429.27791422003577,13.143245548849071,178.9527718375017
Canada,2011,wheat,29568.0,34317154,644.9995232755523,20.49647926820862,165.70863773160698
Canada,2012,wheat,28743.0,34670897,548.5303872583703,14.410982514056673,151.89511395484317
Canada,2013,wheat,35980.0,35024640,468.7405946185466,21.900478933671003,146.32356546244654
Canada,2014,wheat,30818.0,35378383,450.9403363848986,16.714456633388025,160.3232863568906
Canada,2015,wheat,28925.0,35732126,482.35305366352304,14.711118417734275,156.09218028729782
Canada,2016,wheat,35805.0,35732126,579.3959885330468,15.972227298515481,138.22404235954193
Canada,2017,wheat,33815.0,35732126,577.8459924829164,12.207662634010703,114.81340564058613
Canada,2018,wheat,32589.0,35732126,463.7866934497077,17.146211393152612,157.7726891399501
Canada,2019,wheat,33502.0,35732126,727.0427460339463,21.43063849280808,146.0015367509143
