country,year,crop,yield_hg_ha
Canada,2014,apples,258183.0
Canada,2015,apples,221458.0
Canada,2016,apples,263333.0
Canada,2017,apples,257547.0
Canada,2018,apples,256022.0
Canada,2019,apples,248083.0
Canada,1961,apricots,76076.0
Canada,1962,apricots,75602.0
Canada,1963,apricots,75100.0
Canada,1964,apricots,75664.0
Canada,1965,apricots,75500.0
Canada,1966,apricots,75333.0
Canada,1967,apricots,74700.0
Canada,1968,apricots,76256.0
Canada,1969,apricots,7400.0
Canada,1970,apricots,74891.0
Canada,1971,apricots,75743.0
Canada,1972,apricots,75053.0
Canada,1973,apricots,76295.0
Canada,1974,apricots,75921.0
Canada,1975,apricots,75800.0
Canada,1976,apricots,75676.0
Canada,1977,apricots,75314.0
Canada,1978,apricots,76576.0
Canada,1979,apricots,75632.0
Canada,1980,apricots,76457.0
Canada,1981,apricots,50128.0
Canada,1982,apricots,50255.0
Canada,1983,apricots,50465.0
Canada,1984,apricots,50500.0
Canada,1985,apricots,50533.0
Canada,1986,apricots,49787.0
Canada,1987,apricots,49982.0
Canada,1988,apricots,50551.0
Canada,1989,apricots,49815.0
Canada,1990,apricots,50154.0
Canada,1991,apricots,24180.0
Canada,1992,apricots,44251.0
Canada,1993,apricots,39918.0
Canada,1994,apricots,64410.0
Canada,1995,apricots,73431.0
Canada,1996,apricots,40952.0
Canada,1997,apricots,56100.0
Canada,1998,apricots,38889.0
Canada,1999,apricots,38800.0
Canada,2000,apricots,51287.0
Canada,2001,apricots,65865.0
Canada,2002,apricots,49100.0
Canada,2003,apricots,58095.0
Canada,2004,apricots,62500.0
Canada,2005,apricots,98598.0
Canada,2006,apricots,65039.0
Canada,2007,apricots,53554.0
Canada,2008,apricots,56458.0
Canada,2009,apricots,92222.0
Canada,2010,apricots,68778.0
Canada,2011,apricots,40465.0
Canada,2012,apricots,54046.0
Canada,2013,apricots,53659.0
Canada,2014,apricots,84779.0
Canada,2015,apricots,96694.0
Canada,2016,apricots,92362.0
Canada,2017,apricots,93514.0
Canada,2018,apricots,96126.0
Canada,2019,apricots,87679.0
Canada,1961,asparagus,16946.0
Canada,1962,asparagus,16990.0
Canada,1963,asparagus,16954.0
Canada,1964,asparagus,16896.0
Canada,1965,asparagus,17083.0
Canada,1966,asparagus,15944.0
Canada,1967,asparagus,16222.0
Canada,1968,asparagus,18183.0
Canada,1969,asparagus,19566.0
Canada,1970,asparagus,20532.0
Canada,1971,asparagus,20323.0
Canada,1972,asparagus,18720.0
Canada,1973,asparagus,21835.0
Canada,1974,asparagus,19346.0
Canada,1975,asparagus,17926.0
Canada,1976,asparagus,15899.0
Canada,1977,asparagus,17634.0
Canada,1978,asparagus,16971.0
Canada,1979,asparagus,17040.0
Canada,1980,asparagus,15193.0
Canada,1981,asparagus,16151.0
Canada,1982,asparagus,14160.0
Canada,1983,asparagus,12308.0
Canada,1984,asparagus,12292.0
Canada,1985,asparagus,13483.0
Canada,1986,asparagus,15148.0
Canada,1987,asparagus,12939.0
Canada,1988,asparagus,15002.0
Canada,1989,asparagus,17339.0
Canada,1990,asparagus,17718.0
Canada,1991,asparagus,16791.0
Canada,1992,asparagus,19693.0
Canada,1993,asparagus,19500.0
Canada,1994,asparagus,18234.0
Canada,1995,asparagus,21975.0
Canada,1996,asparagus,20325.0
Canada,1997,asparagus,16289.0
Canada,1998,asparagus,19243.0
Canada,1999,asparagus,21523.0
Canada,2000,asparagus,23759.0
Canada,2001,asparagus,23680.0
Canada,2002,asparagus,22826.0
Canada,2003,asparagus,24028.0
Canada,2004,asparagus,23476.0
Canada,2005,asparagus,28802.0
Canada,2006,asparagus,30536.0
Canada,2007,asparagus,28080.0
Canada,2008,asparagus,29002.0
Canada,2009,asparagus,42124.0
Canada,2010,asparagus,36757.0
Canada,2011,asparagus,41939.0
Canada,2012,asparagus,40574.0
Canada,2013,asparagus,45878.0
Canada,2014,asparagus,37957.0
Canada,2015,asparagus,43873.0
Canada,2016,asparagus,46399.0
Canada,2017,asparagus,44140.0
Canada,2018,asparagus,44548.0
Canada,2019,asparagus,47406.0
Canada,1961,barley,10961.0
Canada,1962,barley,16880.0
Canada,1963,barley,19268.0
Canada,1964,barley,16495.0
Canada,1965,barley,19187.0
Canada,1966,barley,21721.0
Canada,1967,barley,16751.0
Canada,1968,barley,19811.0
Canada,1969,barley,21345.0
Canada,1970,barley,22202.0
Canada,1971,barley,23152.0
Canada,1972,barley,22293.0
Canada,1973,barley,21126.0
Canada,1974,barley,18409.0
Canada,1975,barley,21311.0
Canada,1976,barley,24149.0
Canada,1977,barley,24836.0
Canada,1978,barley,24376.0
Canada,1979,barley,22733.0
Canada,1980,barley,24309.0
Canada,1981,barley,25063.0
Canada,1982,barley,27124.0
Canada,1983,barley,23562.0
Canada,1984,barley,22594.0
Canada,1985,barley,26076.0
Canada,1986,barley,30170.0
Canada,1987,barley,27891.0
Canada,1988,barley,24603.0
Canada,1989,barley,24929.0
Canada,1990,barley,29680.0
Canada,1991,barley,27549.0
Canada,1992,barley,29090.0
Canada,1993,barley,31190.0
Canada,1994,barley,28566.0
Canada,1995,barley,29868.0
Canada,1996,barley,31838.0
Canada,1997,barley,28783.0
Canada,1998,barley,29748.0
Canada,1999,barley,32428.0
Canada,2000,barley,29607.0
Canada,2001,barley,26137.0
Canada,2002,barley,22346.0
Canada,2003,barley,27664.0
Canada,2004,barley,32694.0
Canada,2005,barley,32134.0
Canada,2006,barley,29703.0
Canada,2007,barley,27527.0
Canada,2008,barley,33639.0
Canada,2009,barley,32613.0
Canada,2010,barley,31858.0
Canada,2011,barley,32861.0
Canada,2012,barley,28981.0
Canada,2013,barley,38259.0
Canada,2014,barley,32839.0
Canada,2015,barley,35100.0
Canada,2016,barley,39014.0
Canada,2017,barley,37338.0
Canada,2018,barley,34985.0
Canada,2019,barley,38066.0
Canada,1961,"beans,_dry",11874.0
Canada,1962,"beans,_dry",14118.0
Canada,1963,"beans,_dry",14059.0
Canada,1964,"beans,_dry",14518.0
Canada,1965,"beans,_dry",15047.0
Canada,1966,"beans,_dry",14626.0
Canada,1967,"beans,_dry",17079.0
Canada,1968,"beans,_dry",11306.0
Canada,1969,"beans,_dry",13347.0
Canada,1970,"beans,_dry",15606.0
Canada,1971,"beans,_dry",14169.0
Canada,1972,"beans,_dry",15405.0
Canada,1973,"beans,_dry",15470.0
Canada,1974,"beans,_dry",13020.0
Canada,1975,"beans,_dry",14721.0
Canada,1976,"beans,_dry",13630.0
Canada,1977,"beans,_dry",7171.0
Canada,1978,"beans,_dry",12509.0
Canada,1979,"beans,_dry",24259.0
Canada,1980,"beans,_dry",22578.0
Canada,1981,"beans,_dry",14539.0
Canada,1982,"beans,_dry",15303.0
Canada,1983,"beans,_dry",14036.0
Canada,1984,"beans,_dry",14836.0
Canada,1985,"beans,_dry",16071.0
Canada,1986,"beans,_dry",9565.0
Canada,1987,"beans,_dry",22081.0
Canada,1988,"beans,_dry",23294.0
Canada,1989,"beans,_dry",16000.0
Canada,1990,"beans,_dry",19194.0
Canada,1991,"beans,_dry",13813.0
Canada,1992,"beans,_dry",11491.0
Canada,1993,"beans,_dry",16208.0
Canada,1994,"beans,_dry",21472.0
Canada,1995,"beans,_dry",19361.0
Canada,1996,"beans,_dry",15909.0
Canada,1997,"beans,_dry",18301.0
Canada,1998,"beans,_dry",19712.0
Canada,1999,"beans,_dry",18979.0
Canada,2000,"beans,_dry",16503.0
Canada,2001,"beans,_dry",16992.0
Canada,2002,"beans,_dry",18930.0
Canada,2003,"beans,_dry",21293.0
Canada,2004,"beans,_dry",17732.0
Canada,2005,"beans,_dry",18299.0
Canada,2006,"beans,_dry",21123.0
Canada,2007,"beans,_dry",18132.0
Canada,2008,"beans,_dry",21211.0
Canada,2009,"beans,_dry",19685.0
Canada,2010,"beans,_dry",20103.0
Canada,2011,"beans,_dry",21812.0
Canada,2012,"beans,_dry",22734.0
Canada,2013,"beans,_dry",24224.0
Canada,2014,"beans,_dry",22824.0
Canada,2015,"beans,_dry",23305.0
Canada,2016,"beans,_dry",21006.0
Canada,2017,"beans,_dry",24517.0
Canada,2018,"beans,_dry",24880.0
Canada,2019,"beans,_dry",21092.0
Canada,1961,"beans,_green",43542.0
Canada,1962,"beans,_green",40287.0
Canada,1963,"beans,_green",38408.0
Canada,1964,"beans,_green",39638.0
Canada,1965,"beans,_green",41430.0
Canada,1966,"beans,_green",47892.0
Canada,1967,"beans,_green",44319.0
Canada,1968,"beans,_green",45214.0
Canada,1969,"beans,_green",44584.0
Canada,1970,"beans,_green",46307.0
Canada,1971,"beans,_green",48501.0
Canada,1972,"beans,_green",38846.0
Canada,1973,"beans,_green",44489.0
Canada,1974,"beans,_green",45483.0
Canada,1975,"beans,_green",47462.0
Canada,1976,"beans,_green",47822.0
Canada,1977,"beans,_green",49925.0
Canada,1978,"beans,_green",53890.0
Canada,1979,"beans,_green",52174.0
Canada,1980,"beans,_green",56126.0
Canada,1981,"beans,_green",50812.0
Canada,1982,"beans,_green",51413.0
Canada,1983,"beans,_green",57093.0
Canada,1984,"beans,_green",61811.0
Canada,1985,"beans,_green",56187.0
Canada,1986,"beans,_green",48382.0
Canada,1987,"beans,_green",54343.0
Canada,1988,"beans,_green",57258.0
Canada,1989,"beans,_green",59109.0
Canada,1990,"beans,_green",63479.0
Canada,1991,"beans,_green",63590.0
Canada,1992,"beans,_green",66185.0
Canada,1993,"beans,_green",58798.0
Canada,1994,"beans,_green",65518.0
Canada,1995,"beans,_green",49266.0
Canada,1996,"beans,_green",51196.0
Canada,1997,"beans,_green",51227.0
Canada,1998,"beans,_green",66041.0
Canada,1999,"beans,_green",62316.0
Canada,2000,"beans,_green",61793.0
Canada,2001,"beans,_green",42519.0
Canada,2002,"beans,_green",52108.0
Canada,2003,"beans,_green",61708.0
Canada,2004,"beans,_green",70569.0
Canada,2005,"beans,_green",61329.0
Canada,2006,"beans,_green",58356.0
Canada,2007,"beans,_green",57518.0
Canada,2008,"beans,_green",62480.0
Canada,2009,"beans,_green",55214.0
Canada,2010,"beans,_green",63906.0
Canada,2011,"beans,_green",64994.0
Canada,2012,"beans,_green",72379.0
Canada,2013,"beans,_green",69052.0
Canada,2014,"beans,_green",80851.0
Canada,2015,"beans,_green",72743.0
Canada,2016,"beans,_green",77198.0
Canada,2017,"beans,_green",75329.0
Canada,2018,"beans,_green",79847.0
Canada,2019,"beans,_green",85908.0
Canada,1961,blueberries,29264.0
Canada,1962,blueberries,30058.0
Canada,1963,blueberries,27859.0
Canada,1964,blueberries,29028.0
Canada,1965,blueberries,28979.0
Canada,1966,blueberries,27892.0
Canada,1967,blueberries,28816.0
Canada,1968,blueberries,25031.0
Canada,1969,blueberries,27996.0
Canada,1970,blueberries,28991.0
Canada,1971,blueberries,29120.0
Canada,1972,blueberries,29010.0
Canada,1973,blueberries,28019.0
Canada,1974,blueberries,28993.0
Canada,1975,blueberries,27994.0
Canada,1976,blueberries,28635.0
Canada,1977,blueberries,31408.0
Canada,1978,blueberries,29128.0
Canada,1979,blueberries,33204.0
Canada,1980,blueberries,25272.0
Canada,1981,blueberries,29085.0
Canada,1982,blueberries,28335.0
Canada,1983,blueberries,28904.0
Canada,1984,blueberries,28908.0
Canada,1985,blueberries,29131.0
Canada,1986,blueberries,25197.0
Canada,1987,blueberries,28916.0
Canada,1988,blueberries,32861.0
Canada,1989,blueberries,19573.0
Canada,1990,blueberries,26282.0
Canada,1991,blueberries,16710.0
Canada,1992,blueberries,21368.0
Canada,1993,blueberries,20351.0
Canada,1994,blueberries,22651.0
Canada,1995,blueberries,23552.0
Canada,1996,blueberries,24682.0
Canada,1997,blueberries,21535.0
Canada,1998,blueberries,17640.0
Canada,1999,blueberries,29887.0
Canada,2000,blueberries,25460.0
Canada,2001,blueberries,30529.0
Canada,2002,blueberries,24526.0
Canada,2003,blueberries,27897.0
Canada,2004,blueberries,28004.0
Canada,2005,blueberries,23857.0
Canada,2006,blueberries,25616.0
Canada,2007,blueberries,24474.0
Canada,2008,blueberries,28003.0
Canada,2009,blueberries,29486.0
Canada,2010,blueberries,24375.0
Canada,2011,blueberries,27352.0
Canada,2012,blueberries,34520.0
Canada,2013,blueberries,29041.0
Canada,2014,blueberries,41228.0
Canada,2015,blueberries,43069.0
Canada,2016,blueberries,49610.0
Canada,2017,blueberries,41772.0
Canada,2018,blueberries,37798.0
Canada,2019,blueberries,43356.0
Canada,1982,"broad_beans,_horse_beans,_dry",20000.0
Canada,1983,"broad_beans,_horse_beans,_dry",18375.0
Canada,1984,"broad_beans,_horse_beans,_dry",18133.0
Canada,1985,"broad_beans,_horse_beans,_dry",18000.0
Canada,1986,"broad_beans,_horse_beans,_dry",20750.0
Canada,1987,"broad_beans,_horse_beans,_dry",19385.0
Canada,1988,"broad_beans,_horse_beans,_dry",22000.0
Canada,1989,"broad_beans,_horse_beans,_dry",22286.0
Canada,1990,"broad_beans,_horse_beans,_dry",20000.0
Canada,1991,"broad_beans,_horse_beans,_dry",26137.0
Canada,1992,"broad_beans,_horse_beans,_dry",24348.0
Canada,1993,"broad_beans,_horse_beans,_dry",16250.0
Canada,1994,"broad_beans,_horse_beans,_dry",24286.0
Canada,1995,"broad_beans,_horse_beans,_dry",14500.0
Canada,1996,"broad_beans,_horse_beans,_dry",32857.0
Canada,1997,"broad_beans,_horse_beans,_dry",17917.0
Canada,1998,"broad_beans,_horse_beans,_dry",24464.0
Canada,1999,"broad_beans,_horse_beans,_dry",23214.0
Canada,2000,"broad_beans,_horse_beans,_dry",25246.0
Canada,2001,"broad_beans,_horse_beans,_dry",19615.0
Canada,2002,"broad_beans,_horse_beans,_dry",17500.0
Canada,2003,"broad_beans,_horse_beans,_dry",17500.0
Canada,2004,"broad_beans,_horse_beans,_dry",25500.0
Canada,2005,"broad_beans,_horse_beans,_dry",24500.0
Canada,2006,"broad_beans,_horse_beans,_dry",19048.0
Canada,2007,"broad_beans,_horse_beans,_dry",19123.0
Canada,1961,buckwheat,11387.0
Canada,1962,buckwheat,13289.0
Canada,1963,buckwheat,12603.0
Canada,1964,buckwheat,11386.0
Canada,1965,buckwheat,8671.0
Canada,1966,buckwheat,11469.0
Canada,1967,buckwheat,9226.0
Canada,1968,buckwheat,9145.0
Canada,1969,buckwheat,9135.0
Canada,1970,buckwheat,9991.0
Canada,1971,buckwheat,11098.0
Canada,1972,buckwheat,8955.0
Canada,1973,buckwheat,8336.0
Canada,1974,buckwheat,10286.0
Canada,1975,buckwheat,10427.0
Canada,1976,buckwheat,7279.0
Canada,1977,buckwheat,10115.0
Canada,1978,buckwheat,12056.0
Canada,1979,buckwheat,5445.0
Canada,1980,buckwheat,5505.0
Canada,1981,buckwheat,9296.0
Canada,1982,buckwheat,5235.0
Canada,1983,buckwheat,7787.0
Canada,1984,buckwheat,6638.0
Canada,1985,buckwheat,11186.0
Canada,1986,buckwheat,10634.0
Canada,1987,buckwheat,13164.0
Canada,1988,buckwheat,6376.0
Canada,1989,buckwheat,8393.0
Canada,1990,buckwheat,11164.0
Canada,1991,buckwheat,10688.0
Canada,1992,buckwheat,6250.0
Canada,1993,buckwheat,7979.0
Canada,1994,buckwheat,11589.0
Canada,1995,buckwheat,12619.0
Canada,1996,buckwheat,12982.0
Canada,1997,buckwheat,11000.0
Canada,1998,buckwheat,10278.0
Canada,1999,buckwheat,9470.0
Canada,2000,buckwheat,9189.0
Canada,2001,buckwheat,11399.0
Canada,2002,buckwheat,10252.0
Canada,2003,buckwheat,10645.0
Canada,2004,buckwheat,3750.0
Canada,2005,buckwheat,11500.0
Canada,2006,buckwheat,10725.0
Canada,2007,buckwheat,11500.0
Canada,2012,buckwheat,10417.0
Canada,2013,buckwheat,10443.0
Canada,2014,buckwheat,10443.0
Canada,2016,buckwheat,9105.0
Canada,2017,buckwheat,9310.0
Canada,2018,buckwheat,11811.0
Canada,2019,buckwheat,12950.0
Canada,1961,cabbages_and_other_brassicas,214795.0
Canada,1962,cabbages_and_other_brassicas,200650.0
Canada,1963,cabbages_and_other_brassicas,232548.0
Canada,1964,cabbages_and_other_brassicas,206380.0
Canada,1965,cabbages_and_other_brassicas,229866.0
Canada,1966,cabbages_and_other_brassicas,229590.0
Canada,1967,cabbages_and_other_brassicas,225219.0
Canada,1968,cabbages_and_other_brassicas,233469.0
Canada,1969,cabbages_and_other_brassicas,220063.0
Canada,1970,cabbages_and_other_brassicas,238708.0
Canada,1971,cabbages_and_other_brassicas,244223.0
Canada,1972,cabbages_and_other_brassicas,210761.0
Canada,1973,cabbages_and_other_brassicas,220606.0
Canada,1974,cabbages_and_other_brassicas,212914.0
Canada,1975,cabbages_and_other_brassicas,224650.0
Canada,1976,cabbages_and_other_brassicas,246079.0
Canada,1977,cabbages_and_other_brassicas,277217.0
Canada,1978,cabbages_and_other_brassicas,277536.0
Canada,1979,cabbages_and_other_brassicas,260495.0
Canada,1980,cabbages_and_other_brassicas,252343.0
Canada,1981,cabbages_and_other_brassicas,264918.0
Canada,1982,cabbages_and_other_brassicas,267516.0
Canada,1983,cabbages_and_other_brassicas,282430.0
Canada,1984,cabbages_and_other_brassicas,284863.0
Canada,1985,cabbages_and_other_brassicas,317842.0
Canada,1986,cabbages_and_other_brassicas,305465.0
Canada,1987,cabbages_and_other_brassicas,321614.0
Canada,1988,cabbages_and_other_brassicas,232348.0
Canada,1989,cabbages_and_other_brassicas,253601.0
Canada,1990,cabbages_and_other_brassicas,284071.0
Canada,1991,cabbages_and_other_brassicas,279267.0
Canada,1992,cabbages_and_other_brassicas,193640.0
Canada,1993,cabbages_and_other_brassicas,203659.0
Canada,1994,cabbages_and_other_brassicas,193205.0
Canada,1995,cabbages_and_other_brassicas,207882.0
Canada,1996,cabbages_and_other_brassicas,196862.0
Canada,1997,cabbages_and_other_brassicas,188981.0
Canada,1998,cabbages_and_other_brassicas,213208.0
Canada,1999,cabbages_and_other_brassicas,199242.0
Canada,2000,cabbages_and_other_brassicas,198135.0
Canada,2001,cabbages_and_other_brassicas,178981.0
Canada,2002,cabbages_and_other_brassicas,180257.0
Canada,2003,cabbages_and_other_brassicas,195044.0
Canada,2004,cabbages_and_other_brassicas,211920.0
Canada,2005,cabbages_and_other_brassicas,212245.0
Canada,2006,cabbages_and_other_brassicas,190841.0
Canada,2007,cabbages_and_other_brassicas,206465.0
Canada,2008,cabbages_and_other_brassicas,229157.0
Canada,2009,cabbages_and_other_brassicas,218177.0
Canada,2010,cabbages_and_other_brassicas,303079.0
Canada,2011,cabbages_and_other_brassicas,288763.0
Canada,2012,cabbages_and_other_brassicas,283956.0
Canada,2013,cabbages_and_other_brassicas,282346.0
Canada,2014,cabbages_and_other_brassicas,275420.0
Canada,2015,cabbages_and_other_brassicas,284762.0
Canada,2016,cabbages_and_other_brassicas,323129.0
Canada,2017,cabbages_and_other_brassicas,292640.0
Canada,2018,cabbages_and_other_brassicas,282944.0
Canada,2019,cabbages_and_other_brassicas,288435.0
Canada,1980,canary_seed,10952.0
Canada,1981,canary_seed,10333.0
Canada,1982,canary_seed,11042.0
Canada,1983,canary_seed,11034.0
Canada,1984,canary_seed,11184.0
Canada,1985,canary_seed,12476.0
Canada,1986,canary_seed,14137.0
Canada,1987,canary_seed,12014.0
Canada,1988,canary_seed,5804.0
Canada,1989,canary_seed,9673.0
Canada,1990,canary_seed,14240.0
Canada,1991,canary_seed,10540.0
Canada,1992,canary_seed,13489.0
Canada,1993,canary_seed,10390.0
Canada,1994,canary_seed,11767.0
Canada,1995,canary_seed,10618.0
Canada,1996,canary_seed,12126.0
Canada,1997,canary_seed,10150.0
Canada,1998,canary_seed,11291.0
Canada,1999,canary_seed,11393.0
Canada,2000,canary_seed,10421.0
Canada,2001,canary_seed,6971.0
Canada,2002,canary_seed,7833.0
Canada,2003,canary_seed,9204.0
Canada,2004,canary_seed,9462.0
Canada,2005,canary_seed,12470.0
Canada,2006,canary_seed,10153.0
Canada,2007,canary_seed,9310.0
Canada,2008,canary_seed,12089.0
Canada,2009,canary_seed,13737.0
Canada,2010,canary_seed,9980.0
Canada,2011,canary_seed,11766.0
Canada,2012,canary_seed,11375.0
Canada,2013,canary_seed,15412.0
Canada,2014,canary_seed,12120.0
Canada,2015,canary_seed,11655.0
Canada,2016,canary_seed,14815.0
Canada,2017,canary_seed,14064.0
Canada,2018,canary_seed,14512.0
Canada,2019,canary_seed,14884.0
Canada,1961,carrots_and_turnips,263382.0
Canada,1962,carrots_and_turnips,293025.0
Canada,1963,carrots_and_turnips,270728.0
Canada,1964,carrots_and_turnips,258558.0
Canada,1965,carrots_and_turnips,204085.0
Canada,1966,carrots_and_turnips,284531.0
Canada,1967,carrots_and_turnips,288386.0
Canada,1968,carrots_and_turnips,274525.0
Canada,1969,carrots_and_turnips,271178.0
Canada,1970,carrots_and_turnips,282280.0
Canada,1971,carrots_and_turnips,252397.0
Canada,1972,carrots_and_turnips,236107.0
Canada,1973,carrots_and_turnips,255849.0
Canada,1974,carrots_and_turnips,288875.0
Canada,1975,carrots_and_turnips,331694.0
Canada,1976,carrots_and_turnips,309651.0
Canada,1977,carrots_and_turnips,295587.0
Canada,1978,carrots_and_turnips,331567.0
Canada,1979,carrots_and_turnips,395246.0
Canada,1980,carrots_and_turnips,312479.0
Canada,1981,carrots_and_turnips,348370.0
Canada,1982,carrots_and_turnips,383559.0
Canada,1983,carrots_and_turnips,352994.0
Canada,1984,carrots_and_turnips,359957.0
Canada,1985,carrots_and_turnips,356728.0
Canada,1986,carrots_and_turnips,348185.0
Canada,1987,carrots_and_turnips,371993.0
Canada,1988,carrots_and_turnips,345652.0
Canada,1989,carrots_and_turnips,351435.0
Canada,1990,carrots_and_turnips,441694.0
Canada,1991,carrots_and_turnips,403315.0
Canada,1992,carrots_and_turnips,401929.0
Canada,1993,carrots_and_turnips,378598.0
Canada,1994,carrots_and_turnips,427218.0
Canada,1995,carrots_and_turnips,335709.0
Canada,1996,carrots_and_turnips,358871.0
Canada,1997,carrots_and_turnips,327261.0
Canada,1998,carrots_and_turnips,365155.0
Canada,1999,carrots_and_turnips,343953.0
Canada,2000,carrots_and_turnips,326973.0
Canada,2001,carrots_and_turnips,342015.0
Canada,2002,carrots_and_turnips,346763.0
Canada,2003,carrots_and_turnips,328384.0
Canada,2004,carrots_and_turnips,333420.0
Canada,2005,carrots_and_turnips,373813.0
Canada,2006,carrots_and_turnips,343705.0
Canada,2007,carrots_and_turnips,341082.0
Canada,2008,carrots_and_turnips,331465.0
Canada,2009,carrots_and_turnips,429415.0
Canada,2010,carrots_and_turnips,497517.0
Canada,2011,carrots_and_turnips,483603.0
Canada,2012,carrots_and_turnips,447530.0
Canada,2013,carrots_and_turnips,428224.0
Canada,2014,carrots_and_turnips,401235.0
Canada,2015,carrots_and_turnips,425419.0
Canada,2016,carrots_and_turnips,424809.0
Canada,2017,carrots_and_turnips,452455.0
Canada,2018,carrots_and_turnips,444588.0
Canada,2019,carrots_and_turnips,453475.0
Canada,1961,cauliflowers_and_broccoli,114600.0
Canada,1962,cauliflowers_and_broccoli,135419.0
Canada,1963,cauliflowers_and_broccoli,131041.0
Canada,1964,cauliflowers_and_broccoli,118792.0
Canada,1965,cauliflowers_and_broccoli,120968.0
Canada,1966,cauliflowers_and_broccoli,117369.0
Canada,1967,cauliflowers_and_broccoli,124664.0
Canada,1968,cauliflowers_and_broccoli,107941.0
Canada,1969,cauliflowers_and_broccoli,117417.0
Canada,1970,cauliflowers_and_broccoli,123323.0
Canada,1971,cauliflowers_and_broccoli,125172.0
Canada,1972,cauliflowers_and_broccoli,108721.0
Canada,1973,cauliflowers_and_broccoli,117516.0
Canada,1974,cauliflowers_and_broccoli,133605.0
Canada,1975,cauliflowers_and_broccoli,146347.0
Canada,1976,cauliflowers_and_broccoli,167600.0
Canada,1977,cauliflowers_and_broccoli,170388.0
Canada,1978,cauliflowers_and_broccoli,200798.0
Canada,1979,cauliflowers_and_broccoli,226917.0
Canada,1980,cauliflowers_and_broccoli,216735.0
Canada,1981,cauliflowers_and_broccoli,135270.0
Canada,1982,cauliflowers_and_broccoli,152412.0
Canada,1983,cauliflowers_and_broccoli,165420.0
Canada,1984,cauliflowers_and_broccoli,164931.0
Canada,1985,cauliflowers_and_broccoli,136496.0
Canada,1986,cauliflowers_and_broccoli,166248.0
Canada,1987,cauliflowers_and_broccoli,164529.0
Canada,1988,cauliflowers_and_broccoli,107308.0
Canada,1989,cauliflowers_and_broccoli,131145.0
Canada,1990,cauliflowers_and_broccoli,139825.0
Canada,1991,cauliflowers_and_broccoli,55138.0
Canada,1992,cauliflowers_and_broccoli,114976.0
Canada,1993,cauliflowers_and_broccoli,102322.0
Canada,1994,cauliflowers_and_broccoli,61175.0
Canada,1995,cauliflowers_and_broccoli,65035.0
Canada,1996,cauliflowers_and_broccoli,59445.0
Canada,1997,cauliflowers_and_broccoli,59234.0
Canada,1998,cauliflowers_and_broccoli,66512.0
Canada,1999,cauliflowers_and_broccoli,69743.0
Canada,2000,cauliflowers_and_broccoli,64837.0
Canada,2001,cauliflowers_and_broccoli,68989.0
